country,generic programmes and qualifications,education,arts and humanities,social sciences journalism and information,business administration and law,natural sciences mathematics and statistics,information and communication technologies,engineering manufacturing and construction,agriculture forestry fisheries and veterinary,health and welfare,services,unknown
Poland,0.0,1.3671286952061288,9.785117700190685,13.936683876579279,29.47690043154878,2.106448699220536,7.996476242514803,7.505826466094985,1.4329203697715132,14.38049890161357,6.718556597566823,5.293442019692898
Portugal,0.0,3.67591369440775,10.305592250110083,12.480845442536328,25.421400264200795,4.708058124174372,3.3394980184940555,18.303830911492735,2.575077058564509,14.626155878467637,4.519594892118009,0.044033465433729636
Romania,0.0,1.2094102054340623,7.712060967528164,6.5965319195935495,15.760989617848464,1.6153081510934395,4.147338193063839,10.553346587143803,5.271150872542522,44.81444665341285,2.319416832339298,0.0
Slovenia,0.0,3.106247793858101,6.45958348040946,14.09577597364396,25.450052947405577,6.9655253559242265,9.259912930933051,15.272384986468996,1.2707377338510413,7.883280385927756,10.248264501706084,0.0
Slovakia,0.0,6.217665318408428,8.160097827109396,7.656852600884206,14.641143824663718,3.466277866616499,7.910826827203461,17.467782899068762,2.6808390555921364,28.463926253409838,3.334587527043552,0.0
Finland,0.0,2.7252356158966586,8.554669478679234,4.12245435971792,20.763856850985302,5.898635734528439,20.87919330389508,19.6928755025374,1.2884729453634745,12.139985500560206,3.934620707836288,0.0
Sweden,0.0,2.3859669369031478,13.911889443466722,13.072329130723293,10.908513891693834,14.301376186492023,8.086898819999423,24.050085110066068,0.8251348778165662,10.389198234326765,1.9214679322581574,0.14713943625400305
Iceland,0.0,9.669698420296793,36.47678314983246,10.483484921014838,6.845380564863571,17.0416467209191,3.063666826232647,9.382479655337482,1.4360938247965533,4.739109621828627,0.861656294877932,0.0
Liechtenstein,0.0,0.0,0.0,0.0,67.02767749699157,0.0,0.0,23.586040914560773,0.0,9.386281588447654,0.0,0.0
Norway,0.028286542677321263,3.8469698041156923,20.528958348065906,13.16031398062372,13.492680857082243,15.515168658510714,7.828300685948659,12.163213351248144,0.7778799236263347,9.065836928081465,3.5923909200198008,0.0
Switzerland,0.0,4.9086706250283285,12.680354741724456,11.223919382374715,17.04512834458898,16.422668419223736,6.513166840411548,17.554276390336764,0.4124552418075511,9.222076175799604,2.455090725044947,1.5621931136593694
North Macedonia,0.0,5.42246681774037,6.458400776950469,10.326966655875689,25.23470378763354,2.7193266429265135,6.863062479766915,9.970864357397216,0.534153447717708,31.256069925542246,1.2139851084493363,0.0
Albania,0.0,2.0874751491053676,5.5168986083499005,5.119284294234593,5.168986083499006,0.9940357852882704,1.9383697813121274,7.504970178926442,0.9443339960238568,68.88667992047714,1.8389662027833,0.0
Serbia,0.0,3.196427007618881,10.246081092915317,10.990454505648481,11.498379893160521,5.175584552062353,9.895787722217356,23.776162536124005,3.012522988002452,17.98756458534022,4.2210351169104126,0.0
Turkiye,0.0,3.7883006509950543,11.003606326982487,12.526682842103867,18.49999337072246,4.177439242671334,4.316322607162271,21.844132426448166,1.7613990427323232,17.791323601553902,4.289142569242804,0.0016573193853333863
